Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0010942,positive regulation of cell death,19_GO:0048518 positive regulation of biological process,-2.4,6.2,4.2,30198,605,32,4,12,5.8,2002|3624|3725|7480,ELK1|INHBA|JUN|WNT10B,-0.97,CNet-SVM
GO Biological Processes,19,GO:1903131,mononuclear cell differentiation,19_GO:0002376 immune system process,-2.4,9.6,4.8,30198,295,32,3,9.4,5.2,3725|28514|54361,JUN|DLL1|WNT4,-0.97,CNet-SVM
Reactome Gene Sets,6,R-HSA-9006931,Signaling by Nuclear Receptors,,-2.4,9.5,4.8,30198,299,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-0.95,CNet-SVM
GO Biological Processes,19,GO:0009416,response to light stimulus,19_GO:0050896 response to stimulus,-2.4,9.2,4.7,30198,308,32,3,9.4,5.2,2002|3845|25769,ELK1|KRAS|SLC24A2,-0.92,CNet-SVM
GO Biological Processes,19,GO:0070372,regulation of ERK1 and ERK2 cascade,19_GO:0023052 signaling,-2.4,9.1,4.7,30198,312,32,3,9.4,5.2,2246|2253|3725,FGF1|FGF8|JUN,-0.91,CNet-SVM
Reactome Gene Sets,6,R-HSA-418594,G alpha (i) signalling events,,-2.3,8.9,4.6,30198,318,32,3,9.4,5.2,2920|5137|5179,CXCL2|PDE1C|PENK,-0.89,CNet-SVM
GO Biological Processes,19,GO:0043010,camera-type eye development,19_GO:0032502 developmental process,-2.3,8.8,4.6,30198,320,32,3,9.4,5.2,3624|3725|28514,INHBA|JUN|DLL1,-0.88,CNet-SVM
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0009987 cellular process,-2.3,5.8,4,30198,647,32,4,12,5.8,1311|3725|28514|54361,COMP|JUN|DLL1|WNT4,-0.88,CNet-SVM
GO Biological Processes,19,GO:1905114,cell surface receptor signaling pathway involved in cell-cell signaling,19_GO:0023052 signaling,-2.3,8.7,4.5,30198,326,32,3,9.4,5.2,7480|10009|54361,WNT10B|ZBTB33|WNT4,-0.86,CNet-SVM
GO Biological Processes,19,GO:0090287,regulation of cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-2.3,8.6,4.5,30198,331,32,3,9.4,5.2,2246|28514|54361,FGF1|DLL1|WNT4,-0.85,CNet-SVM
Reactome Gene Sets,6,R-HSA-195721,Signaling by WNT,,-2.3,8.5,4.5,30198,332,32,3,9.4,5.2,3845|7480|54361,KRAS|WNT10B|WNT4,-0.84,CNet-SVM
Reactome Gene Sets,6,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),,-2.3,8.5,4.5,30198,335,32,3,9.4,5.2,2920|5021|5179,CXCL2|OXTR|PENK,-0.84,CNet-SVM
WikiPathways,27,WP2059,Alzheimer's disease and miRNA effects,,-2.3,8.4,4.4,30198,337,32,3,9.4,5.2,3845|7480|54361,KRAS|WNT10B|WNT4,-0.83,CNet-SVM
GO Biological Processes,19,GO:1901342,regulation of vasculature development,19_GO:0032502 developmental process,-2.2,8,4.3,30198,353,32,3,9.4,5.2,2246|28514|54361,FGF1|DLL1|WNT4,-0.78,CNet-SVM
GO Biological Processes,19,GO:0045787,positive regulation of cell cycle,19_GO:0048518 positive regulation of biological process,-2.2,7.9,4.3,30198,358,32,3,9.4,5.2,2253|7480|54361,FGF8|WNT10B|WNT4,-0.77,CNet-SVM
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0002376 immune system process,-2.2,7.9,4.3,30198,358,32,3,9.4,5.2,3725|28514|54361,JUN|DLL1|WNT4,-0.77,CNet-SVM
Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-2.2,5.3,3.8,30198,715,32,4,12,5.8,2002|2920|3725|3845,ELK1|CXCL2|JUN|KRAS,-0.75,CNet-SVM
GO Biological Processes,19,GO:0050767,regulation of neurogenesis,19_GO:0032502 developmental process,-2.2,7.8,4.2,30198,364,32,3,9.4,5.2,1959|26508|28514,EGR2|HEYL|DLL1,-0.75,CNet-SVM
GO Biological Processes,19,GO:0001654,eye development,19_GO:0032502 developmental process,-2.2,7.7,4.2,30198,368,32,3,9.4,5.2,3624|3725|28514,INHBA|JUN|DLL1,-0.73,CNet-SVM
GO Biological Processes,19,GO:0150063,visual system development,19_GO:0032502 developmental process,-2.2,7.6,4.2,30198,372,32,3,9.4,5.2,3624|3725|28514,INHBA|JUN|DLL1,-0.72,CNet-SVM
GO Biological Processes,19,GO:0032940,secretion by cell,19_GO:0051179 localization,-2.1,7.5,4.1,30198,378,32,3,9.4,5.2,1311|3624|6927,COMP|INHBA|HNF1A,-0.71,CNet-SVM
GO Biological Processes,19,GO:0048880,sensory system development,19_GO:0032502 developmental process,-2.1,7.5,4.1,30198,378,32,3,9.4,5.2,3624|3725|28514,INHBA|JUN|DLL1,-0.71,CNet-SVM
GO Biological Processes,19,GO:0001934,positive regulation of protein phosphorylation,19_GO:0048518 positive regulation of biological process,-2.1,5.1,3.7,30198,741,32,4,12,5.8,2246|2253|3624|3845,FGF1|FGF8|INHBA|KRAS,-0.7,CNet-SVM
GO Biological Processes,19,GO:0050678,regulation of epithelial cell proliferation,19_GO:0050789 regulation of biological process,-2.1,7.4,4.1,30198,382,32,3,9.4,5.2,2246|3725|7480,FGF1|JUN|WNT10B,-0.69,CNet-SVM
KEGG Pathway,24,hsa05010,Alzheimer disease,,-2.1,7.4,4.1,30198,384,32,3,9.4,5.2,3845|7480|54361,KRAS|WNT10B|WNT4,-0.69,CNet-SVM
GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-2.1,5,3.6,30198,753,32,4,12,5.8,1959|3624|5021|7480,EGR2|INHBA|OXTR|WNT10B,-0.68,CNet-SVM
GO Biological Processes,19,GO:0009410,response to xenobiotic stimulus,19_GO:0050896 response to stimulus,-2.1,7.1,4,30198,401,32,3,9.4,5.2,3624|3725|5021,INHBA|JUN|OXTR,-0.64,CNet-SVM
GO Biological Processes,19,GO:0008015,blood circulation,19_GO:0032501 multicellular organismal process,-2,7,3.9,30198,406,32,3,9.4,5.2,1311|5021|28514,COMP|OXTR|DLL1,-0.63,CNet-SVM
Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-3.3,17,6.9,30198,751,7,3,43,19,2246|4320|25891,FGF1|MMP11|PAMR1,-1.7,Enet-SVM
GO Biological Processes,19,GO:0030198,extracellular matrix organization,19_GO:0009987 cellular process,-4.6,22,9.1,30198,271,20,4,20,8.9,1300|3381|4319|60495,COL10A1|IBSP|MMP10|HPSE2,-2.6,L2SCAD-SVM
GO Biological Processes,19,GO:0043062,extracellular structure organization,19_GO:0009987 cellular process,-4.6,22,9,30198,272,20,4,20,8.9,1300|3381|4319|60495,COL10A1|IBSP|MMP10|HPSE2,-2.6,L2SCAD-SVM
GO Biological Processes,19,GO:0045229,external encapsulating structure organization,19_GO:0009987 cellular process,-4.5,22,9,30198,274,20,4,20,8.9,1300|3381|4319|60495,COL10A1|IBSP|MMP10|HPSE2,-2.6,L2SCAD-SVM
Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,,-4.4,20,8.6,30198,301,20,4,20,8.9,1300|3381|4319|4680,COL10A1|IBSP|MMP10|CEACAM6,-2.5,L2SCAD-SVM
Reactome Gene Sets,6,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),,-4.2,18,8.1,30198,335,20,4,20,8.9,148|2920|5179|6354,ADRA1A|CXCL2|PENK|CCL7,-2.3,L2SCAD-SVM
GO Biological Processes,19,GO:0001649,osteoblast differentiation,19_GO:0032502 developmental process,-4.1,34,9.9,30198,132,20,3,15,8,3381|5179|8840,IBSP|PENK|CCN4,-2.2,L2SCAD-SVM
Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-4,10,6.5,30198,751,20,5,25,9.7,2246|2920|4319|6354|60495,FGF1|CXCL2|MMP10|CCL7|HPSE2,-2.2,L2SCAD-SVM
Reactome Gene Sets,6,R-HSA-500792,GPCR ligand binding,,-3.6,13,6.7,30198,467,20,4,20,8.9,148|2920|5179|6354,ADRA1A|CXCL2|PENK|CCL7,-1.9,L2SCAD-SVM
Reactome Gene Sets,6,R-HSA-375276,Peptide ligand-binding receptors,,-3.5,23,7.9,30198,201,20,3,15,8,2920|5179|6354,CXCL2|PENK|CCL7,-1.8,L2SCAD-SVM
GO Biological Processes,19,GO:0070374,positive regulation of ERK1 and ERK2 cascade,19_GO:0023052 signaling,-3.4,20,7.5,30198,221,20,3,15,8,148|2246|6354,ADRA1A|FGF1|CCL7,-1.7,L2SCAD-SVM
GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-3.3,11,6,30198,560,20,4,20,8.9,2246|4680|6354|8840,FGF1|CEACAM6|CCL7|CCN4,-1.7,L2SCAD-SVM
KEGG Pathway,24,hsa04020,Calcium signaling pathway,,-3.3,19,7.2,30198,240,20,3,15,8,148|2246|9127,ADRA1A|FGF1|P2RX6,-1.7,L2SCAD-SVM
GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-3.3,10,5.9,30198,584,20,4,20,8.9,2246|4680|6354|8840,FGF1|CEACAM6|CCL7|CCN4,-1.6,L2SCAD-SVM
GO Biological Processes,19,GO:0051272,positive regulation of cellular component movement,19_GO:0051179 localization,-3.2,10,5.8,30198,597,20,4,20,8.9,2246|4680|6354|8840,FGF1|CEACAM6|CCL7|CCN4,-1.6,L2SCAD-SVM
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-3.2,10,5.8,30198,599,20,4,20,8.9,2246|4680|6354|8840,FGF1|CEACAM6|CCL7|CCN4,-1.6,L2SCAD-SVM
GO Biological Processes,19,GO:0001503,ossification,19_GO:0032501 multicellular organismal process,-3.1,17,6.7,30198,273,20,3,15,8,3381|5179|8840,IBSP|PENK|CCN4,-1.5,L2SCAD-SVM
Canonical Pathways,11,M5884,NABA CORE MATRISOME,,-3.1,16,6.6,30198,275,20,3,15,8,1300|3381|8840,COL10A1|IBSP|CCN4,-1.5,L2SCAD-SVM
GO Biological Processes,19,GO:0043408,regulation of MAPK cascade,19_GO:0023052 signaling,-3,8.8,5.3,30198,688,20,4,20,8.9,148|2246|6354|401265,ADRA1A|FGF1|CCL7|KLHL31,-1.4,L2SCAD-SVM
Reactome Gene Sets,6,R-HSA-372790,Signaling by GPCR,,-3,8.5,5.2,30198,708,20,4,20,8.9,148|2920|5179|6354,ADRA1A|CXCL2|PENK|CCL7,-1.4,L2SCAD-SVM
GO Biological Processes,19,GO:0070372,regulation of ERK1 and ERK2 cascade,19_GO:0023052 signaling,-3,15,6.2,30198,312,20,3,15,8,148|2246|6354,ADRA1A|FGF1|CCL7,-1.4,L2SCAD-SVM
Canonical Pathways,11,M5883,NABA SECRETED FACTORS,,-2.8,13,5.9,30198,343,20,3,15,8,2246|2920|6354,FGF1|CXCL2|CCL7,-1.3,L2SCAD-SVM
KEGG Pathway,24,hsa04080,Neuroactive ligand-receptor interaction,,-2.8,13,5.7,30198,362,20,3,15,8,148|5179|9127,ADRA1A|PENK|P2RX6,-1.3,L2SCAD-SVM
GO Biological Processes,19,GO:0040007,growth,19_GO:0040007 growth,-2.7,12,5.6,30198,373,20,3,15,8,148|2246|6722,ADRA1A|FGF1|SRF,-1.2,L2SCAD-SVM
GO Biological Processes,19,GO:0048589,developmental growth,19_GO:0040007 growth,-2.7,12,5.6,30198,373,20,3,15,8,148|2246|6722,ADRA1A|FGF1|SRF,-1.2,L2SCAD-SVM
GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-2.5,9.7,4.9,30198,468,20,3,15,8,2246|3381|5179,FGF1|IBSP|PENK,-0.99,L2SCAD-SVM
GO Biological Processes,19,GO:0043410,positive regulation of MAPK cascade,19_GO:0023052 signaling,-2.4,9.2,4.7,30198,492,20,3,15,8,148|2246|6354,ADRA1A|FGF1|CCL7,-0.94,L2SCAD-SVM
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-2.4,9.1,4.7,30198,498,20,3,15,8,2246|3381|5179,FGF1|IBSP|PENK,-0.93,L2SCAD-SVM
GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-2.4,9,4.6,30198,505,20,3,15,8,1300|6722|8840,COL10A1|SRF|CCN4,-0.91,L2SCAD-SVM
GO Biological Processes,19,GO:0051347,positive regulation of transferase activity,19_GO:0065007 biological regulation,-2.2,7.9,4.3,30198,575,20,3,15,8,148|2246|4101,ADRA1A|FGF1|MAGEA2,-0.78,L2SCAD-SVM
GO Biological Processes,19,GO:0019725,cellular homeostasis,19_GO:0065007 biological regulation,-2.1,7.3,4.1,30198,621,20,3,15,8,6354|6722|116085,CCL7|SRF|SLC22A12,-0.69,L2SCAD-SVM
Reactome Gene Sets,6,R-HSA-388396,GPCR downstream signalling,,-2.1,7.2,4,30198,633,20,3,15,8,148|2920|5179,ADRA1A|CXCL2|PENK,-0.67,L2SCAD-SVM
WikiPathways,27,WP4155,Endometrial cancer,,-5.7,1.2e+02,19,30198,63,12,3,25,12,2002|2246|3845,ELK1|FGF1|KRAS,-3.3,SCAD-SVM
GO Biological Processes,19,GO:0009314,response to radiation,19_GO:0050896 response to stimulus,-4.7,23,9.3,30198,435,12,4,33,14,2002|3845|5179|25769,ELK1|KRAS|PENK|SLC24A2,-2.7,SCAD-SVM
KEGG Pathway,24,hsa05224,Breast cancer,,-4.6,51,12,30198,147,12,3,25,12,2246|3845|28514,FGF1|KRAS|DLL1,-2.6,SCAD-SVM
WikiPathways,27,WP4262,Breast cancer pathway,,-4.5,48,12,30198,157,12,3,25,12,2246|3845|28514,FGF1|KRAS|DLL1,-2.6,SCAD-SVM
GO Biological Processes,19,GO:0030324,lung development,19_GO:0032502 developmental process,-4.4,43,11,30198,174,12,3,25,12,2002|2246|3845,ELK1|FGF1|KRAS,-2.5,SCAD-SVM
KEGG Pathway,24,hsa05200,Pathways in cancer,,-4.4,19,8.3,30198,531,12,4,33,14,2002|2246|3845|28514,ELK1|FGF1|KRAS|DLL1,-2.5,SCAD-SVM
GO Biological Processes,19,GO:0030323,respiratory tube development,19_GO:0032502 developmental process,-4.4,42,11,30198,178,12,3,25,12,2002|2246|3845,ELK1|FGF1|KRAS,-2.5,SCAD-SVM
GO Biological Processes,19,GO:0060541,respiratory system development,19_GO:0032502 developmental process,-4.2,38,10,30198,198,12,3,25,12,2002|2246|3845,ELK1|FGF1|KRAS,-2.4,SCAD-SVM
KEGG Pathway,24,hsa05205,Proteoglycans in cancer,,-4.2,37,10,30198,205,12,3,25,12,2002|3845|60495,ELK1|KRAS|HPSE2,-2.3,SCAD-SVM
GO Biological Processes,19,GO:0042063,gliogenesis,19_GO:0032502 developmental process,-4.1,35,10,30198,213,12,3,25,12,3845|5179|28514,KRAS|PENK|DLL1,-2.3,SCAD-SVM
KEGG Pathway,24,hsa04014,Ras signaling pathway,,-4,33,9.6,30198,232,12,3,25,12,2002|2246|3845,ELK1|FGF1|KRAS,-2.2,SCAD-SVM
WikiPathways,27,WP382,MAPK signaling pathway,,-3.9,30,9.3,30198,249,12,3,25,12,2002|2246|3845,ELK1|FGF1|KRAS,-2.2,SCAD-SVM
Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-3.8,13,6.9,30198,751,12,4,33,14,2246|2920|25891|60495,FGF1|CXCL2|PAMR1|HPSE2,-2.1,SCAD-SVM
KEGG Pathway,24,hsa04010,MAPK signaling pathway,,-3.7,26,8.5,30198,294,12,3,25,12,2002|2246|3845,ELK1|FGF1|KRAS,-2,SCAD-SVM
GO Biological Processes,19,GO:0060562,epithelial tube morphogenesis,19_GO:0032502 developmental process,-3.7,25,8.3,30198,307,12,3,25,12,2246|3845|28514,FGF1|KRAS|DLL1,-2,SCAD-SVM
GO Biological Processes,19,GO:0009416,response to light stimulus,19_GO:0050896 response to stimulus,-3.7,25,8.3,30198,308,12,3,25,12,2002|3845|25769,ELK1|KRAS|SLC24A2,-2,SCAD-SVM
Reactome Gene Sets,6,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,,-3.2,17,6.9,30198,433,12,3,25,12,2246|3845|28514,FGF1|KRAS|DLL1,-1.6,SCAD-SVM
GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,19_GO:0032502 developmental process,-3.2,17,6.7,30198,447,12,3,25,12,2246|3845|28514,FGF1|KRAS|DLL1,-1.6,SCAD-SVM
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-3.1,15,6.4,30198,498,12,3,25,12,2002|2246|5179,ELK1|FGF1|PENK,-1.5,SCAD-SVM
GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-3,15,6.3,30198,503,12,3,25,12,2002|2920|5179,ELK1|CXCL2|PENK,-1.5,SCAD-SVM
Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-3,14,6.2,30198,521,12,3,25,12,2002|2246|3845,ELK1|FGF1|KRAS,-1.4,SCAD-SVM
GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-2.9,14,6,30198,557,12,3,25,12,2246|3845|28514,FGF1|KRAS|DLL1,-1.4,SCAD-SVM
GO Biological Processes,19,GO:0007610,behavior,19_GO:0032501 multicellular organismal process,-2.9,13,5.9,30198,572,12,3,25,12,3845|5179|25769,KRAS|PENK|SLC24A2,-1.3,SCAD-SVM
Reactome Gene Sets,6,R-HSA-388396,GPCR downstream signalling,,-2.8,12,5.5,30198,633,12,3,25,12,2920|3845|5179,CXCL2|KRAS|PENK,-1.2,SCAD-SVM
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-2.7,11,5.4,30198,663,12,3,25,12,2246|3845|28514,FGF1|KRAS|DLL1,-1.2,SCAD-SVM
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0032502 developmental process,-2.6,11,5.2,30198,699,12,3,25,12,3845|8840|28514,KRAS|CCN4|DLL1,-1.1,SCAD-SVM
Reactome Gene Sets,6,R-HSA-372790,Signaling by GPCR,,-2.6,11,5.2,30198,708,12,3,25,12,2920|3845|5179,CXCL2|KRAS|PENK,-1.1,SCAD-SVM
Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-2.6,11,5.2,30198,715,12,3,25,12,2002|2920|3845,ELK1|CXCL2|KRAS,-1.1,SCAD-SVM
GO Biological Processes,19,GO:1903047,mitotic cell cycle process,19_GO:0009987 cellular process,-9.2,19,12,30198,514,28,9,32,8.8,699|1063|4751|9833|22974|24137|55165|83540|128239,BUB1|CENPF|NEK2|MELK|TPX2|KIF4A|CEP55|NUF2|IQGAP3,-6,SGLasso-SVM
GO Biological Processes,19,GO:0000278,mitotic cell cycle,19_GO:0009987 cellular process,-8.6,16,11,30198,605,28,9,32,8.8,699|1063|4751|9833|22974|24137|55165|83540|128239,BUB1|CENPF|NEK2|MELK|TPX2|KIF4A|CEP55|NUF2|IQGAP3,-5.4,SGLasso-SVM
GO Biological Processes,19,GO:0051301,cell division,19_GO:0009987 cellular process,-6.5,15,9.7,30198,503,28,7,25,8.2,699|1063|4751|22974|24137|55165|83540,BUB1|CENPF|NEK2|TPX2|KIF4A|CEP55|NUF2,-3.9,SGLasso-SVM
GO Biological Processes,19,GO:0007052,mitotic spindle organization,19_GO:0009987 cellular process,-5.8,46,13,30198,94,28,4,14,6.6,4751|22974|24137|83540,NEK2|TPX2|KIF4A|NUF2,-3.4,SGLasso-SVM
GO Biological Processes,19,GO:0098813,nuclear chromosome segregation,19_GO:0009987 cellular process,-5.7,24,10,30198,228,28,5,18,7.2,699|1063|4751|24137|83540,BUB1|CENPF|NEK2|KIF4A|NUF2,-3.3,SGLasso-SVM
GO Biological Processes,19,GO:0071173,spindle assembly checkpoint signaling,19_GO:0023052 signaling,-5.6,1.1e+02,18,30198,29,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3.3,SGLasso-SVM
GO Biological Processes,19,GO:0007094,mitotic spindle assembly checkpoint signaling,19_GO:0023052 signaling,-5.6,1.1e+02,18,30198,29,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3.3,SGLasso-SVM
GO Biological Processes,19,GO:0071174,mitotic spindle checkpoint signaling,19_GO:0023052 signaling,-5.6,1.1e+02,18,30198,29,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3.3,SGLasso-SVM
GO Biological Processes,19,GO:0031577,spindle checkpoint signaling,19_GO:0023052 signaling,-5.5,1.1e+02,18,30198,30,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3.2,SGLasso-SVM
GO Biological Processes,19,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,19_GO:0048519 negative regulation of biological process,-5.5,1e+02,18,30198,31,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3.2,SGLasso-SVM
GO Biological Processes,19,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,19_GO:0048519 negative regulation of biological process,-5.4,98,17,30198,33,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3.1,SGLasso-SVM
GO Biological Processes,19,GO:0033046,negative regulation of sister chromatid segregation,19_GO:0048519 negative regulation of biological process,-5.4,95,17,30198,34,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3.1,SGLasso-SVM
GO Biological Processes,19,GO:2000816,negative regulation of mitotic sister chromatid separation,19_GO:0048519 negative regulation of biological process,-5.4,95,17,30198,34,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3.1,SGLasso-SVM
GO Biological Processes,19,GO:0033048,negative regulation of mitotic sister chromatid segregation,19_GO:0048519 negative regulation of biological process,-5.4,95,17,30198,34,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3.1,SGLasso-SVM
GO Biological Processes,19,GO:0007088,regulation of mitotic nuclear division,19_GO:0050789 regulation of biological process,-5.4,37,12,30198,118,28,4,14,6.6,699|1063|4751|83540,BUB1|CENPF|NEK2|NUF2,-3.1,SGLasso-SVM
GO Biological Processes,19,GO:1905819,negative regulation of chromosome separation,19_GO:0048519 negative regulation of biological process,-5.3,90,16,30198,36,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3.1,SGLasso-SVM
GO Biological Processes,19,GO:0051985,negative regulation of chromosome segregation,19_GO:0048519 negative regulation of biological process,-5.3,90,16,30198,36,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3.1,SGLasso-SVM
GO Biological Processes,19,GO:1902850,microtubule cytoskeleton organization involved in mitosis,19_GO:0009987 cellular process,-5.3,35,11,30198,125,28,4,14,6.6,4751|22974|24137|83540,NEK2|TPX2|KIF4A|NUF2,-3,SGLasso-SVM
GO Biological Processes,19,GO:0007059,chromosome segregation,19_GO:0009987 cellular process,-5.2,19,9.3,30198,285,28,5,18,7.2,699|1063|4751|24137|83540,BUB1|CENPF|NEK2|KIF4A|NUF2,-3,SGLasso-SVM
GO Biological Processes,19,GO:0045839,negative regulation of mitotic nuclear division,19_GO:0048519 negative regulation of biological process,-5.2,83,16,30198,39,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-3,SGLasso-SVM
GO Biological Processes,19,GO:0000280,nuclear division,19_GO:0009987 cellular process,-5,17,8.8,30198,310,28,5,18,7.2,699|4751|22974|24137|83540,BUB1|NEK2|TPX2|KIF4A|NUF2,-2.9,SGLasso-SVM
GO Biological Processes,19,GO:0051783,regulation of nuclear division,19_GO:0050789 regulation of biological process,-5,30,11,30198,145,28,4,14,6.6,699|1063|4751|83540,BUB1|CENPF|NEK2|NUF2,-2.9,SGLasso-SVM
GO Biological Processes,19,GO:0000819,sister chromatid segregation,19_GO:0009987 cellular process,-5,30,11,30198,146,28,4,14,6.6,699|4751|24137|83540,BUB1|NEK2|KIF4A|NUF2,-2.9,SGLasso-SVM
GO Biological Processes,19,GO:0051784,negative regulation of nuclear division,19_GO:0048519 negative regulation of biological process,-5,70,14,30198,46,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2.9,SGLasso-SVM
GO Biological Processes,19,GO:0007051,spindle organization,19_GO:0009987 cellular process,-4.9,28,10,30198,155,28,4,14,6.6,4751|22974|24137|83540,NEK2|TPX2|KIF4A|NUF2,-2.8,SGLasso-SVM
GO Biological Processes,19,GO:0048285,organelle fission,19_GO:0009987 cellular process,-4.9,16,8.5,30198,335,28,5,18,7.2,699|4751|22974|24137|83540,BUB1|NEK2|TPX2|KIF4A|NUF2,-2.8,SGLasso-SVM
GO Biological Processes,19,GO:0090307,mitotic spindle assembly,19_GO:0009987 cellular process,-4.9,65,14,30198,50,28,3,11,5.8,4751|22974|24137,NEK2|TPX2|KIF4A,-2.8,SGLasso-SVM
GO Biological Processes,19,GO:0140014,mitotic nuclear division,19_GO:0009987 cellular process,-4.8,26,9.7,30198,169,28,4,14,6.6,4751|22974|24137|83540,NEK2|TPX2|KIF4A|NUF2,-2.7,SGLasso-SVM
GO Biological Processes,19,GO:0033047,regulation of mitotic sister chromatid segregation,19_GO:0050789 regulation of biological process,-4.7,59,13,30198,55,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2.7,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-68877,Mitotic Prometaphase,,-4.4,21,8.8,30198,204,28,4,14,6.6,699|1063|4751|83540,BUB1|CENPF|NEK2|NUF2,-2.5,SGLasso-SVM
GO Biological Processes,19,GO:2001251,negative regulation of chromosome organization,19_GO:0048519 negative regulation of biological process,-4.3,40,11,30198,80,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2.4,SGLasso-SVM
GO Biological Processes,19,GO:0033044,regulation of chromosome organization,19_GO:0050789 regulation of biological process,-4.1,17,7.9,30198,250,28,4,14,6.6,699|1063|4751|83540,BUB1|CENPF|NEK2|NUF2,-2.3,SGLasso-SVM
GO Biological Processes,19,GO:0030071,regulation of mitotic metaphase/anaphase transition,19_GO:0050789 regulation of biological process,-4.1,36,10,30198,91,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2.3,SGLasso-SVM
GO Biological Processes,19,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,19_GO:0050789 regulation of biological process,-4,34,9.9,30198,94,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2.2,SGLasso-SVM
GO Biological Processes,19,GO:0051225,spindle assembly,19_GO:0009987 cellular process,-4,34,9.8,30198,95,28,3,11,5.8,4751|22974|24137,NEK2|TPX2|KIF4A,-2.2,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-141424,Amplification of signal from the kinetochores,,-4,34,9.8,30198,96,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2.2,SGLasso-SVM
Reactome Gene Sets,6,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,,-4,34,9.8,30198,96,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2.2,SGLasso-SVM
GO Biological Processes,19,GO:0010965,regulation of mitotic sister chromatid separation,19_GO:0050789 regulation of biological process,-4,34,9.8,30198,96,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2.2,SGLasso-SVM
GO Biological Processes,19,GO:0033045,regulation of sister chromatid segregation,19_GO:0050789 regulation of biological process,-3.9,31,9.3,30198,105,28,3,11,5.8,699|1063|83540,BUB1|CENPF|NUF2,-2.1,SGLasso-SVM
